National Science Foundation,23
Natural Sciences and Engineering Research Council of Canada,12
Australian Research Council,10
Biotechnology and Biological Sciences Research Council,9
Natural Environment Research Council,8
Deutsche Forschungsgemeinschaft,7
National Eye Research Centre,5
American Museum of Natural History,4
Japan Society for the Promotion of Science,4
National Natural Science Foundation of China,4
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,4
Fonds Québécois de la Recherche sur la Nature et les Technologies,3
Ministerio de Ciencia y Tecnología,3
Norges Forskningsråd,3
Sigma Xi,3
Animal Behavior Society,2
Association for the Study of Animal Behaviour,2
Audubon Society of Greater Denver,2
"Biology Graduate Student Association, University of New Mexico",2
California Department of Fish and Game,2
Deutscher Akademischer Austauschdienst,2
Fuel Cell Technologies Program,2
"Horace H. Rackham School of Graduate Studies, University of Michigan",2
Howard Hughes Medical Institute,2
Macquarie University,2
National Institutes of Health,2
North Atlantic Treaty Organization,2
University of Auckland,2
University of Dayton,2
University of Illinois,2
University of Michigan,2
Vetenskapsrådet,2
Air Force Office of Scientific Research,1
Alaska Department of Fish and Game,1
Alzheimer Society of B.C.,1
American Academy of Arts and Sciences,1
American Bureau of Shipping,1
American Friends of the Alexander von Humboldt Foundation,1
American Ornithologists' Union,1
Applied Scientific Research Fund,1
Arctic Landscape Conservation Cooperative,1
Atomic Energy Council,1
Auburn University,1
Australian Federation of University Women – South Australia,1
Carl Tryggers Stiftelse för Vetenskaplig Forskning,1
China Scholarship Council,1
Consejo Nacional de Ciencia y Tecnología,1
Consejo Nacional para Investigaciones Científicas y Tecnológicas,1
Conselho Nacional de Desenvolvimento Científico e Tecnológico,1
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,1
Daphne Jackson Trust,1
Dartmouth College,1
Delhi College of Engineering,1
"Department of Biological Sciences, Dartmouth College",1
Division of Arctic Sciences,1
Erzincan Üniversitesi,1
European Commission,1
European Research Council,1
European Social Fund,1
Fondation Fyssen,1
Fonds pour la Formation de Chercheurs et l'Aide à la Recherche,1
Foundation for the National Institutes of Health,1
Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco,1
"Girton College, University of Cambridge",1
Holsworth Wildlife Research Endowment,1
Home Office,1
Hungarian Scientific Research Fund,1
"Illinois Program for Research in the Humanities, University of Illinois at Urbana-Champaign",1
Kansas State University,1
Koninklijke Nederlandse Akademie van Wetenschappen,1
Kresge Foundation,1
La Trobe University,1
Leverhulme Trust,1
Liz Claiborne Art Ortenberg Foundation,1
MSD K.K.,1
Marianne and Marcus Wallenberg Foundation,1
Max-Planck-Gesellschaft,1
Ministerio de Economía y Competitividad,1
"Ministerio de Economía, Industria y Competitividad, Gobierno de España",1
National Basic Research Program of China (973 Program),1
National Fish and Wildlife Foundation,1
National Geographic Society,1
"National Institute for Psychobiology in Israel, Hebrew University of Jerusalem",1
National Park Service,1
National Sleep Foundation,1
Natural Resources Canada,1
Nemzeti Kutatási Fejlesztési és Innovációs Hivatal,1
Office of Polar Programs,1
Princeton University,1
Radford University,1
Royal Society,1
Secretaría de Medio Ambiente y Recursos Naturales,1
State Government of Victoria,1
The Hermon Slade Foundation,1
U.S. Fish and Wildlife Service,1
U.S. Geological Survey,1
Universidad Nacional Autónoma de México,1
Universidad Simón Bolívar,1
"University Research Council, DePaul University",1
University of Alaska Fairbanks,1
"University of California, Los Angeles",1
University of Colorado Denver,1
University of Minnesota,1
University of Missouri,1
University of New Mexico,1
University of Northern British Columbia,1
University of St Andrews,1
University of Stirling,1
University of Waikato,1
WWF International,1
Whitehall Foundation,
